DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,7p12.2,7,50409816,IKZF1,IKZF1 - RNU6-1091P,ENSG00000185811,ENSG00000200815,,4715,25564,rs17133805-G,rs17133805,0,17133805,intergenic_variant,1,0.32,5E-71,70.30102999566398,,1.65,[1.56-1.74],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,8q24.21,8,129172930,intergenic,CCDC26,,,ENSG00000229140,,,rs75777619-G,rs75777619,0,75777619,intron_variant,0,0.12,2E-9,8.698970004336019,,1.26,[1.17-1.36],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,9p21.3,9,21976403,CDKN2A,CDKN2A; AL359922.1,,,ENSG00000147889; ENSG00000264545,,,rs113650570-A,rs113650570,0,113650570,intron_variant,0,0.02,8E-35,34.096910013008056,,2.32,[2.03-2.65],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,10q21.2,10,61963818,ARID5B,ARID5B,,,ENSG00000150347,,,rs10821936-C,rs10821936,0,10821936,intron_variant,0,0.33,1E-106,106.0,,1.8,[1.71-1.89],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,10p14,10,8062245,GATA3,GATA3,,,ENSG00000107485,,,rs3824662-A,rs3824662,0,3824662,intron_variant,0,0.19,4E-14,13.397940008672037,,1.29,[1.21-1.38],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,10p12.2,10,22568017,PIP4K2A,PIP4K2A,,,ENSG00000150867,,,rs2296624-C,rs2296624,0,2296624,intron_variant,0,0.67,3E-15,14.522878745280337,,1.25,[1.18-1.32],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,10q26.13,10,124604086,LHPP,LHPP,,,ENSG00000107902,,,rs12779301-C,rs12779301,0,12779301,intron_variant,0,0.66,6E-13,12.221848749616356,,1.22,[1.15-1.29],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,12q23.1,12,96218984,ELK3,ELK3,,,ENSG00000111145,,,rs4762284-T,rs4762284,0,4762284,intron_variant,0,0.32,4E-7,6.3979400086720375,,1.15,[1.12-1.19],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,14q11.2,14,23120140,CEBPE,CEBPE - SLC7A8,ENSG00000092067,ENSG00000092068,,524,5155,rs2239630-A,rs2239630,0,2239630,regulatory_region_variant,1,0.45,2E-21,20.69897000433602,,1.28,[1.22-1.35],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia,5;321 European ancestry cases; 16;666 European ancestry controls,2;237 cases; 3;461 controls,21q22.2,21,38404563,ERG,ERG,,,ENSG00000157554,,,rs9976326-T,rs9976326,0,9976326,intron_variant,0,0.25,1E-8,8.0,,1.19,[1.12-1.26],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009638,Genome-wide genotyping array
